gene,ensembl,name,biotype,axis_membership,off_axis,novelty_tier,condition_class,best_condition,sel_confidence,evidence_tier,ad_decision_tier,best_modality,tractability,tract_sm,tract_ab,tract_pr,n_existing_drugs,max_clinical_stage,kd_mimicking_drug,example_drugs,ad_genetic,ad_overall,Tcell_log2FC_les_vs_healthy,Tcell_frac_expr_Lesional,ad_upreg_call_Tcell,AllCells_log2FC_les_vs_healthy,AllCells_frac_expr_Lesional,ad_upreg_call_AllCells,c_tractability,c_patient_upreg,c_ad_genetic,c_sel_conf,c_drug_precedent,c_offaxis,c_safety_penalty,ad_target_score
ADIPOR2,ENSG00000006831,adiponectin receptor 2,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.52,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.65,0.5,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.52,0.0,1.0,0.0,0.3712
EFNB1,ENSG00000090776,ephrin B1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.595,C: tractable+selective,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,-0.4864,0.0235,flat,0.0439,0.2171,flat,0.65,0.0,0.0,0.595,0.0,1.0,0.0,0.3712
TRABD2A,ENSG00000186854,TraB domain containing 2A,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.594,C: tractable+selective,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,-0.1968,0.0712,flat,0.3257,0.0226,flat,0.65,0.0,0.0,0.594,0.0,1.0,0.0,0.371
FKBP7,ENSG00000079150,FKBP prolyl isomerase 7,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.574,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.45,0.6,0.0,0,0.0,False,,0.0,0.0,-0.574,0.0124,not_detected_Tcell,0.3114,0.0878,flat,0.6,0.073,0.0,0.574,0.0,1.0,0.0,0.3704
ACTG1,ENSG00000184009,actin gamma 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.568,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,0.2602,0.9306,flat,0.1665,0.9429,flat,0.7,0.087,0.0,0.568,0.0,1.0,0.167,0.3698
RAP2C,ENSG00000123728,"RAP2C, member of RAS oncogene family",protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.558,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.2417,0.0586,flat,0.6036,0.1023,up,0.6,0.081,0.0,0.558,0.0,1.0,0.0,0.3695
PHLPP2,ENSG00000040199,PH domain and leucine rich repeat protein phosphatase 2,protein_coding,off_axis,True,N,constitutive,Rest,0.654,E: low-tractability,AD-5: other off-axis,degrader,0.5,0.0,0.45,0.5,0,0.0,False,,0.0,0.0,0.2674,0.0118,not_detected_Tcell,0.5329,0.0278,up,0.5,0.124,0.0,0.654,0.0,1.0,0.0,0.3694
BRD9,ENSG00000028310,bromodomain containing 9,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.58,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.55,0,0.0,False,,0.0,0.0,0.582,0.1214,up,0.3085,0.1419,flat,0.7,0.194,0.0,0.58,0.0,1.0,0.3,0.3692
ST14,ENSG00000149418,ST14 transmembrane serine protease matriptase,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.506,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.5,0,0.0,False,,0.0,0.0022174791281082,,,,,,,0.7,0.0,0.0,0.506,0.0,1.0,0.0,0.369
KIF18A,ENSG00000121621,kinesin family member 18A,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.505,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0039410660453205,,,,,,,0.7,0.0,0.0,0.505,0.0,1.0,0.0,0.3688
SDHD,ENSG00000204370,succinate dehydrogenase complex subunit D,protein_coding,off_axis,True,P,activation-gated,Stim8hr,0.501,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.501,0.0,1.0,0.0,0.3682
ATP5PO,ENSG00000241837,ATP synthase peripheral stalk subunit OSCP,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.69,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,0.2937,0.3386,flat,0.1493,0.5782,flat,0.7,0.098,0.0,0.69,0.0,1.0,0.3,0.3678
IMMP2L,ENSG00000184903,inner mitochondrial membrane peptidase subunit 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.641,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,-0.0075,0.0134,not_detected_Tcell,-0.2523,0.0601,flat,0.6,0.0,0.0,0.641,0.0,1.0,0.0,0.3666
CSF2RA,ENSG00000198223,colony stimulating factor 2 receptor subunit alpha,protein_coding,JAK_interactor,False,N,early-kinetic,Stim8hr,0.429,D: tractable only,OnAxis (IL4R/STAT6 or interactor),antibody,0.9,0.0,0.9,0.0,2,4.0,False,"MAVRILIMUMAB, SARGRAMOSTIM",0.0,0.0,,,,,,,0.9,0.0,0.0,0.429,0.6,0.5,0.3,0.3666
PPP1R3F,ENSG00000049769,protein phosphatase 1 regulatory subunit 3F,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.638,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.3149,0.0111,not_detected_Tcell,0.2271,0.0096,not_detected,0.6,0.0,0.0,0.638,0.0,1.0,0.0,0.3661
RPS6KA1,ENSG00000117676,ribosomal protein S6 kinase A1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.46,D: tractable only,AD-5: other off-axis,small_molecule,0.85,0.85,0.0,0.55,1,1.0,False,TAS0612,0.0,0.0022174791281082,,,,,,,0.85,0.0,0.0,0.46,0.15,1.0,0.3,0.3657
CBR3,ENSG00000159231,carbonyl reductase 3,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.578,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,1.14,0.049,up,0.7095,0.2372,up,0.7,0.38,0.0,0.578,0.0,1.0,0.5,0.3652
DUSP5,ENSG00000138166,dual specificity phosphatase 5,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.616,C: tractable+selective,AD-5: other off-axis,small_molecule,0.6,0.6,0.0,0.5,0,0.0,False,,0.0,0.0,0.0294,0.1613,flat,-0.0415,0.1372,flat,0.6,0.01,0.0,0.616,0.0,1.0,0.0,0.3646
FOXO3,ENSG00000118689,forkhead box O3,protein_coding,off_axis,True,N,rest-restricted,Rest,0.632,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0,0.0167,0.0381,flat,-0.0158,0.1579,flat,0.7,0.006,0.0,0.632,0.0,1.0,0.167,0.3642
H2AC8,ENSG00000277075,H2A clustered histone 8,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.476,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.476,0.0,1.0,0.0,0.3642
ADGRE5,ENSG00000123146,adhesion G protein-coupled receptor E5,protein_coding,off_axis,True,N,rest-restricted,Rest,0.548,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.548,0.0,1.0,0.0,0.3637
EMC1,ENSG00000127463,ER membrane protein complex subunit 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.473,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.473,0.0,1.0,0.0,0.3637
STK32C,ENSG00000165752,serine/threonine kinase 32C,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.543,D: tractable only,AD-5: other off-axis,small_molecule,0.65,0.65,0.0,0.55,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.543,0.0,1.0,0.0,0.3629
ETFB,ENSG00000105379,electron transfer flavoprotein subunit beta,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.465,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.465,0.0,1.0,0.0,0.3624
DCUN1D3,ENSG00000188215,defective in cullin neddylation 1 domain containing 3,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.54,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.5,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.54,0.0,1.0,0.0,0.3624
SLC26A2,ENSG00000155850,solute carrier family 26 member 2,protein_coding,off_axis,True,N,late-kinetic,Rest,0.537,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.537,0.0,1.0,0.0,0.3619
GPR34,ENSG00000171659,G protein-coupled receptor 34,protein_coding,off_axis,True,N,late-kinetic,Rest,0.462,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.65,0.5,0,0.0,False,,0.0,0.0016719943122225,,,,,,,0.7,0.0,0.0,0.462,0.0,1.0,0.0,0.3619
DDA1,ENSG00000130311,DET1 and DDB1 associated 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.461,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.461,0.0,1.0,0.0,0.3618
TPST1,ENSG00000169902,tyrosylprotein sulfotransferase 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.461,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.461,0.0,1.0,0.0,0.3618
KCNIP2,ENSG00000120049,potassium voltage-gated channel interacting protein 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.611,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,-0.3108,0.0001,not_detected_Tcell,0.1125,0.0014,not_detected,0.6,0.0,0.0,0.611,0.0,1.0,0.0,0.3618
CDS1,ENSG00000163624,CDP-diacylglycerol synthase 1,protein_coding,off_axis,True,N,early-kinetic,Rest,0.566,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,-0.2548,0.0045,not_detected_Tcell,0.1482,0.0835,flat,0.6,0.035,0.0,0.566,0.0,1.0,0.0,0.3616
FXYD5,ENSG00000089327,FXYD domain containing ion transport regulator 5,protein_coding,off_axis,True,N,early-kinetic,Rest,0.535,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.535,0.0,1.0,0.0,0.3616
SPIN2B,ENSG00000186787,spindlin family member 2B,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.456,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.456,0.0,1.0,0.0,0.361
TMEM87A,ENSG00000103978,transmembrane protein 87A,protein_coding,off_axis,True,N,rest-restricted,Rest,0.456,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.456,0.0,1.0,0.0,0.361
RELL2,ENSG00000164620,RELT like 2,protein_coding,off_axis,True,P,late-kinetic,Rest,0.53,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.53,0.0,1.0,0.0,0.3608
DTNB,ENSG00000138101,dystrobrevin beta,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.604,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.371,0.0097,not_detected_Tcell,0.6579,0.0174,not_detected,0.6,0.0,0.0,0.604,0.0,1.0,0.0,0.3606
PJA2,ENSG00000198961,praja ring finger ubiquitin ligase 2,protein_coding,off_axis,True,N,rest-restricted,Rest,0.64,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.4684,0.1226,flat,0.5129,0.2314,up,0.65,0.156,0.0,0.64,0.0,1.0,0.3,0.3604
TNFSF10,ENSG00000121858,TNF superfamily member 10,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.524,D: tractable only,AD-5: other off-axis,antibody,0.65,0.45,0.65,0.5,0,0.0,False,,0.0,0.0322828675834648,,,,,,,0.65,0.0,0.0,0.524,0.0,1.0,0.0,0.3598
UBLCP1,ENSG00000164332,ubiquitin like domain containing CTD phosphatase 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.523,D: tractable only,AD-5: other off-axis,small_molecule,0.65,0.65,0.0,0.5,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.523,0.0,1.0,0.0,0.3597
ME1,ENSG00000065833,malic enzyme 1,protein_coding,off_axis,True,N,rest-restricted,Rest,0.444,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0021391170843779,,,,,,,0.7,0.0,0.0,0.444,0.0,1.0,0.0,0.359
BCAT2,ENSG00000105552,branched chain amino acid transaminase 2,protein_coding,off_axis,True,N,rest-restricted,Rest,0.669,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,0.1914,0.0259,flat,0.3465,0.0788,flat,0.7,0.064,0.0,0.669,0.0,1.0,0.3,0.3589
ARHGAP26,ENSG00000145819,Rho GTPase activating protein 26,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.518,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.518,0.0,1.0,0.0,0.3589
CACYBP,ENSG00000116161,calcyclin binding protein,protein_coding,off_axis,True,N,rest-restricted,Rest,0.442,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.442,0.0,1.0,0.0,0.3587
CHST2,ENSG00000175040,carbohydrate sulfotransferase 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.59,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.828,0.0079,not_detected_Tcell,1.1706,0.0152,not_detected,0.6,0.0,0.0,0.59,0.0,1.0,0.0,0.3584
TRIM58,ENSG00000162722,tripartite motif containing 58,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.438,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.438,0.0,1.0,0.0,0.3581
FABP4,ENSG00000170323,fatty acid binding protein 4,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.437,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0081490584660888,,,,,,,0.7,0.0,0.0,0.437,0.0,1.0,0.0,0.3579
TMEM97,ENSG00000109084,transmembrane protein 97,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.51,D: tractable only,AD-5: other off-axis,small_molecule,0.65,0.65,0.6,0.5,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.51,0.0,1.0,0.0,0.3576
XRN1,ENSG00000114127,5'-3' exoribonuclease 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.569,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.7672,0.0956,up,0.6312,0.1572,up,0.6,0.256,0.0,0.569,0.0,1.0,0.3,0.3575
HSPA2,ENSG00000126803,heat shock protein family A (Hsp70) member 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.434,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.4,0.5,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.434,0.0,1.0,0.0,0.3574
DMGDH,ENSG00000132837,dimethylglycine dehydrogenase,protein_coding,off_axis,True,N,rest-restricted,Rest,0.432,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.432,0.0,1.0,0.0,0.3571
ULK3,ENSG00000140474,unc-51 like kinase 3,protein_coding,off_axis,True,N,early-kinetic,Rest,0.429,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.55,0,0.0,False,,0.0,0.0022174791281082,,,,,,,0.7,0.0,0.0,0.429,0.0,1.0,0.0,0.3566
CMKLR1,ENSG00000174600,chemerin chemokine-like receptor 1,protein_coding,off_axis,True,N,rest-restricted,Rest,0.429,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.65,0.5,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.429,0.0,1.0,0.0,0.3566
RANBP2,ENSG00000153201,RAN binding protein 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.426,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.426,0.0,1.0,0.0,0.3562
TMEM127,ENSG00000135956,transmembrane protein 127,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.496,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.496,0.0,1.0,0.0,0.3554
RAPGEF6,ENSG00000158987,Rap guanine nucleotide exchange factor 6,protein_coding,off_axis,True,N,rest-restricted,Rest,0.465,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0305168489851565,0.0196608719081937,,,,,,,0.65,0.0,0.0305168489851565,0.465,0.0,1.0,0.0,0.3553
BPNT1,ENSG00000162813,"3'(2'), 5'-bisphosphate nucleotidase 1",protein_coding,off_axis,True,P,early-kinetic,Stim8hr,0.42,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.42,0.0,1.0,0.0,0.3552
PPM1K,ENSG00000163644,"protein phosphatase, Mg2+/Mn2+ dependent 1K",protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.568,C: tractable+selective,AD-5: other off-axis,small_molecule,0.6,0.6,0.0,0.0,0,0.0,False,,0.0,0.0,-0.1367,0.1098,flat,-0.3133,0.0635,flat,0.6,0.0,0.0,0.568,0.0,1.0,0.0,0.3549
IGHMBP2,ENSG00000132740,immunoglobulin mu DNA binding protein 2,protein_coding,off_axis,True,N,rest-restricted,Rest,0.418,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.418,0.0,1.0,0.0,0.3549
P2RY8,ENSG00000182162,P2Y receptor family member 8,protein_coding,JAK_interactor,False,N,activation-gated,Stim48hr,0.597,C: tractable+selective,OnAxis (IL4R/STAT6 or interactor),antibody,0.65,0.45,0.65,0.0,0,0.0,False,,0.0,0.0,0.6468,0.0317,up,1.2281,0.0054,not_detected,0.65,0.216,0.0,0.597,0.0,0.5,0.0,0.3547
TMEM273,ENSG00000204161,transmembrane protein 273,protein_coding,off_axis,True,N,rest-restricted,Rest,0.567,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.3801,0.019,not_detected_Tcell,-0.1692,0.0314,flat,0.6,0.0,0.0,0.567,0.0,1.0,0.0,0.3547
DIPK1A,ENSG00000154511,divergent protein kinase domain 1A,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.57,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,1.3878,0.0076,not_detected_Tcell,1.0167,0.0273,up,0.6,0.237,0.0,0.57,0.0,1.0,0.3,0.3543
AQP5,ENSG00000161798,aquaporin 5,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.412,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0337352491356195,,,,,,,0.7,0.0,0.0,0.412,0.0,1.0,0.0,0.3539
MPZ,ENSG00000158887,myelin protein zero,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.485,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.485,0.0,1.0,0.0,0.3536
MPP7,ENSG00000150054,MAGUK p55 scaffold protein 7,protein_coding,off_axis,True,N,rest-restricted,Rest,0.485,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.485,0.0,1.0,0.0,0.3536
CTNND1,ENSG00000198561,catenin delta 1,protein_coding,off_axis,True,N,rest-restricted,Rest,0.477,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.477,0.0,1.0,0.0,0.3523
GPR135,ENSG00000181619,G protein-coupled receptor 135,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.476,D: tractable only,AD-5: other off-axis,antibody,0.65,0.45,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.476,0.0,1.0,0.0,0.3522
CRLS1,ENSG00000088766,cardiolipin synthase 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.727,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.2973,0.0361,flat,0.4297,0.1114,flat,0.6,0.099,0.0,0.727,0.0,1.0,0.3,0.3521
RNFT2,ENSG00000135119,"ring finger protein, transmembrane 2",protein_coding,off_axis,True,N,rest-restricted,Rest,0.549,D: tractable only,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.6,0.0,0.0,0.549,0.0,1.0,0.0,0.3518
KMT2E,ENSG00000005483,lysine methyltransferase 2E (inactive),protein_coding,off_axis,True,N,rest-restricted,Rest,0.634,C: tractable+selective,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.3323,0.3136,flat,-0.1039,0.4012,flat,0.65,0.111,0.0,0.634,0.0,1.0,0.3,0.3517
SNX5,ENSG00000089006,sorting nexin 5,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.473,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.473,0.0,1.0,0.0,0.3517
VSIG10,ENSG00000176834,V-set and immunoglobulin domain containing 10,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.539,D: tractable only,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.6,0.0,0.0,0.539,0.0,1.0,0.0,0.3502
OSMR,ENSG00000145623,oncostatin M receptor,protein_coding,IL4R_STAT6_interactor,False,N,late-kinetic,Stim48hr,0.463,D: tractable only,OnAxis (IL4R/STAT6 or interactor),antibody,0.9,0.0,0.9,0.0,1,2.0,True,VIXARELIMAB,0.0,0.0394703905588343,,,,,,,0.9,0.0,0.0,0.463,0.5,0.0,0.0,0.3501
LRRC1,ENSG00000137269,leucine rich repeat containing 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.462,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.462,0.0,1.0,0.0,0.3499
ADGRA3,ENSG00000152990,adhesion G protein-coupled receptor A3,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.534,D: tractable only,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.6,0.0,0.0,0.534,0.0,1.0,0.0,0.3494
AKR1C3,ENSG00000196139,aldo-keto reductase family 1 member C3,protein_coding,off_axis,True,P,early-kinetic,Stim8hr,0.384,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0167599894578243,,,,,,,0.7,0.0,0.0,0.384,0.0,1.0,0.0,0.3494
ARSK,ENSG00000164291,arylsulfatase family member K,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.456,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.456,0.0,1.0,0.0,0.349
ALG12,ENSG00000182858,"ALG12 alpha-1,6-mannosyltransferase",protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.531,D: tractable only,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.6,0.0,0.0,0.531,0.0,1.0,0.0,0.349
PRR27,ENSG00000187533,proline rich 27,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.456,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.456,0.0,1.0,0.0,0.349
FBXO45,ENSG00000174013,F-box protein 45,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.454,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.454,0.0,1.0,0.0,0.3486
GNG4,ENSG00000168243,G protein subunit gamma 4,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.452,D: tractable only,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.65,0.0,0.0,0.452,0.0,1.0,0.0,0.3483
SLC1A6,ENSG00000105143,solute carrier family 1 member 6,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.451,D: tractable only,AD-5: other off-axis,antibody,0.65,0.45,0.65,0.0,0,0.0,False,,0.0,0.004390676706462,,,,,,,0.65,0.0,0.0,0.451,0.0,1.0,0.0,0.3482
EDEM1,ENSG00000134109,ER degradation enhancing alpha-mannosidase like protein 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.522,D: tractable only,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.6,0.0,0.0,0.522,0.0,1.0,0.0,0.3475
